seller_id,seller_city,seller_state,price
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,229472.63
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,222776.05
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,202999.12
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,194042.03
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,189417.67
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,176431.87
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,162723.37
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,142325.49
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,140513.14
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,135241.7
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,128111.19
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,123585.82
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,115283.9
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,113628.97
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,112155.53
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,107431.41
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,106555.98
a1043bafd471dff536d0c462352beb48,ilicinea,MG,101901.16
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,94963.2
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,79284.55
ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,74004.62
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,68780.0
8581055ce74af1daba164fdbd55a40de,guarulhos,SP,66120.05
fe2032dab1a61af8794248c8196565c9,campinas,SP,65959.61
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,65629.96
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,60130.6
522620dcb18a6b31cd7bdf73665113a9,cascavel,PR,57168.49
17e34d8224d27a541263c4c64b11a56b,riberao preto,SP,56363.24
37be5a7c751166fbc5f8ccba4119e043,sao paulo,SP,56345.54
7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,SP,55773.560000000005
218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,SP,55604.28
de722cd6dad950a92b7d4f82673f8833,recife,PE,55426.1
25c5c91f63607446a97b143d2d535d31,itauna,MG,55421.96
f5a590cf36251cf1162ea35bef76fe84,sao bernardo do campo,SP,53201.78
ceaec5548eefc6e23e6607c5435102e7,sao paulo,SP,52917.18
e882b2a25a10b9c057cc49695f222c19,teresopolis,RJ,52774.27
966cb4760537b1404caedd472cc610a5,diadema,SP,51886.04
b2ba3715d723d245138f291a6fe42594,sao paulo,SP,51676.88
2bf6a2c1e71bbd29a4ad64e6d3c3629f,nova friburgo,RJ,50628.9
f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,50626.4
17f51e7198701186712e53a39c564617,sao paulo,SP,48019.0
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,SP,47297.39
77530e9772f57a62c906e1c21538ab82,curitiba,PR,47156.4
4e922959ae960d389249c378d1c939f5,jacarei,SP,46030.37
c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,SP,45643.74
850f4f8af5ea87287ac68de36e29107f,sao paulo,SP,45355.36
b33e7c55446eabf8fe1a42d037ac7d6d,pradopolis,SP,44985.17
ba90964cff9b9e0e6f32b23b82465f7b,guarulhos,SP,44212.5
c3cfdc648177fdbbbb35635a37472c53,curitiba,PR,43966.58
4d6d651bd7684af3fffabd5f08d12e5a,jau,SP,43906.3
